id,user,created_at,text
9.15593E+17,CitronResearch,2017-10-04 15:01,Here is the story that provides all the evidence the FTC needs agasint Shopify  $SHOP tgt $60 - being generous https://t.co/QBKEIVdpTa
9.15575E+17,CitronResearch,2017-10-04 13:50,Full story up in one hour...video live now...$SHOP is not the company Wall Street has sold you.  The FTC is going to shit when they read
9.15574E+17,CitronResearch,2017-10-04 13:49,"$SHOP a business dirtier than $HLF   If the company has 2,500 plus merchants and 25k advanced...who are other 470k merchants?  @FTC"
8.49265E+17,CitronResearch,2017-04-04 14:20,FleetCor $FLT customers can file their complaints with the Georgia AG or the FTC at https://t.co/QnLnBHPc50  or https://t.co/dK0mjCwh8R
